Loading demo data ...
Data: loaded 89160 cached samples from /home/exouser/.cache/autoresearch_trimnn/data_k2.pkl
Demo — Train: 71328  Val: 17832
Loading 16 intestinal samples (VF2 direct supervision) ...
  B004_ascending_ct25: 21,232 nodes, vf2_zero=1546, vf2_nonzero=1379, vf2_mean(nonzero)=29.7
  B005_ascending_ct24: 17,312 nodes, vf2_zero=1300, vf2_nonzero=1300, vf2_mean(nonzero)=25.3
  B005_descendingSigmoid_ct20: 14,230 nodes, vf2_zero=1169, vf2_nonzero=371, vf2_mean(nonzero)=75.5
  B005_duodenum_ct25: 23,558 nodes, vf2_zero=1273, vf2_nonzero=1652, vf2_mean(nonzero)=27.3
  B005_ileum_ct25: 17,670 nodes, vf2_zero=1748, vf2_nonzero=1177, vf2_mean(nonzero)=28.5
  B006_descendingSigmoid_ct23: 24,585 nodes, vf2_zero=1075, vf2_nonzero=1225, vf2_mean(nonzero)=37.8
  B006_descending_ct24: 20,379 nodes, vf2_zero=1357, vf2_nonzero=1243, vf2_mean(nonzero)=31.7
  B008_ascending_ct22: 5,829 nodes, vf2_zero=1541, vf2_nonzero=483, vf2_mean(nonzero)=23.5
  B008_transverse_ct23: 22,279 nodes, vf2_zero=1465, vf2_nonzero=835, vf2_mean(nonzero)=52.1
  B010_ascending_ct25: 22,961 nodes, vf2_zero=1830, vf2_nonzero=1095, vf2_mean(nonzero)=40.1
  B010_descendingSigmoid_ct24: 24,158 nodes, vf2_zero=1066, vf2_nonzero=1534, vf2_mean(nonzero)=30.0
  B010_descending_ct24: 19,612 nodes, vf2_zero=1388, vf2_nonzero=1212, vf2_mean(nonzero)=31.2
  B010_transverse_ct24: 14,924 nodes, vf2_zero=1458, vf2_nonzero=1142, vf2_mean(nonzero)=24.9
  B011_ascending_ct24: 20,382 nodes, vf2_zero=1278, vf2_nonzero=1322, vf2_mean(nonzero)=29.5
  B011_descendingSigmoid_ct24: 21,201 nodes, vf2_zero=1413, vf2_nonzero=1187, vf2_mean(nonzero)=34.5
  B011_descending_ct24: 20,504 nodes, vf2_zero=1236, vf2_nonzero=1364, vf2_mean(nonzero)=28.4
Loaded 16 samples (310,816 nodes total) in 9.6s
Loading B004_ascending (benchmark eval data) ...
  B004_ascending: 21,232 nodes, 2,925 patterns
Parameters: 302,209

step 00000 (0.0%) | loss: 15.0503 | dt: 1596ms | remaining: 300s   
step 00001 (0.0%) | loss: 15.0284 | dt: 490ms | remaining: 300s   
step 00002 (0.0%) | loss: 14.9911 | dt: 357ms | remaining: 300s   
step 00003 (0.0%) | loss: 14.7326 | dt: 243ms | remaining: 300s   
step 00004 (0.0%) | loss: 14.3562 | dt: 244ms | remaining: 300s   
step 00005 (0.1%) | loss: 13.8455 | dt: 345ms | remaining: 300s   
step 00006 (0.2%) | loss: 13.2842 | dt: 287ms | remaining: 299s   
step 00007 (0.3%) | loss: 12.6913 | dt: 245ms | remaining: 299s   
step 00008 (0.4%) | loss: 12.1022 | dt: 303ms | remaining: 299s   
step 00009 (0.5%) | loss: 11.5407 | dt: 398ms | remaining: 298s   
step 00010 (0.6%) | loss: 11.0093 | dt: 235ms | remaining: 298s   
step 00011 (0.7%) | loss: 10.5161 | dt: 254ms | remaining: 298s   
step 00012 (0.8%) | loss: 10.0358 | dt: 364ms | remaining: 298s   
step 00013 (0.9%) | loss: 9.5817 | dt: 320ms | remaining: 297s   
step 00014 (1.0%) | loss: 9.1314 | dt: 237ms | remaining: 297s   
step 00015 (1.1%) | loss: 8.7061 | dt: 377ms | remaining: 297s   
step 00016 (1.2%) | loss: 8.2944 | dt: 294ms | remaining: 296s   
step 00017 (1.3%) | loss: 7.9049 | dt: 239ms | remaining: 296s   
step 00018 (1.4%) | loss: 7.5429 | dt: 325ms | remaining: 296s   
step 00019 (1.5%) | loss: 7.2097 | dt: 423ms | remaining: 295s   
step 00020 (1.7%) | loss: 6.8749 | dt: 305ms | remaining: 295s   
step 00021 (1.7%) | loss: 6.5597 | dt: 233ms | remaining: 295s   
step 00022 (1.8%) | loss: 6.2543 | dt: 359ms | remaining: 294s   
step 00023 (2.0%) | loss: 5.9670 | dt: 436ms | remaining: 294s   
step 00024 (2.1%) | loss: 5.6914 | dt: 290ms | remaining: 294s   
step 00080 (9.1%) | loss: 0.6793 | dt: 353ms | remaining: 273s   
step 00081 (9.2%) | loss: 0.6603 | dt: 411ms | remaining: 272s   
step 00082 (9.4%) | loss: 0.6448 | dt: 374ms | remaining: 272s   
step 00083 (9.5%) | loss: 0.6325 | dt: 373ms | remaining: 272s   
step 00084 (9.6%) | loss: 0.6188 | dt: 366ms | remaining: 271s   
step 00085 (9.7%) | loss: 0.6022 | dt: 365ms | remaining: 271s   
step 00086 (9.8%) | loss: 0.5853 | dt: 328ms | remaining: 271s   
step 00087 (10.0%) | loss: 0.5675 | dt: 375ms | remaining: 270s   
step 00088 (10.1%) | loss: 0.5677 | dt: 417ms | remaining: 270s   
step 00089 (10.2%) | loss: 0.5547 | dt: 370ms | remaining: 269s   
step 00090 (10.4%) | loss: 0.5428 | dt: 494ms | remaining: 269s   
step 00091 (10.5%) | loss: 0.5369 | dt: 355ms | remaining: 269s   
step 00092 (10.6%) | loss: 0.5267 | dt: 448ms | remaining: 268s   
step 00093 (10.8%) | loss: 0.5207 | dt: 379ms | remaining: 268s   
step 00094 (10.9%) | loss: 0.5227 | dt: 392ms | remaining: 267s   
step 00095 (11.0%) | loss: 0.5174 | dt: 343ms | remaining: 267s   
step 00096 (11.1%) | loss: 0.5082 | dt: 383ms | remaining: 267s   
step 00097 (11.3%) | loss: 0.5013 | dt: 389ms | remaining: 266s   
step 00098 (11.4%) | loss: 0.4917 | dt: 334ms | remaining: 266s   
step 00099 (11.5%) | loss: 0.4879 | dt: 372ms | remaining: 265s   
step 00100 (11.6%) | loss: 0.4874 | dt: 368ms | remaining: 265s   
step 00101 (11.8%) | loss: 0.4785 | dt: 477ms | remaining: 265s   
step 00102 (11.9%) | loss: 0.4694 | dt: 400ms | remaining: 264s   
step 00103 (12.1%) | loss: 0.4603 | dt: 391ms | remaining: 264s   
step 00104 (12.2%) | loss: 0.4569 | dt: 287ms | remaining: 264s   
step 00105 (12.3%) | loss: 0.4520 | dt: 373ms | remaining: 263s   
step 00106 (12.4%) | loss: 0.4617 | dt: 400ms | remaining: 263s   
step 00107 (12.5%) | loss: 0.4585 | dt: 359ms | remaining: 262s   
step 00108 (12.6%) | loss: 0.4499 | dt: 356ms | remaining: 262s   
step 00109 (12.8%) | loss: 0.4441 | dt: 384ms | remaining: 262s   
step 00110 (12.9%) | loss: 0.4414 | dt: 238ms | remaining: 261s   
step 00111 (13.0%) | loss: 0.4356 | dt: 410ms | remaining: 261s   
step 00112 (13.1%) | loss: 0.4283 | dt: 363ms | remaining: 261s   
step 00113 (13.2%) | loss: 0.4242 | dt: 337ms | remaining: 260s   
step 00114 (13.4%) | loss: 0.4166 | dt: 382ms | remaining: 260s   
step 00115 (13.5%) | loss: 0.4139 | dt: 391ms | remaining: 260s   
step 00116 (13.6%) | loss: 0.4078 | dt: 385ms | remaining: 259s   
step 00117 (13.8%) | loss: 0.4041 | dt: 444ms | remaining: 259s   
step 00118 (13.9%) | loss: 0.4097 | dt: 365ms | remaining: 258s   
step 00119 (14.0%) | loss: 0.4047 | dt: 303ms | remaining: 258s   
step 00120 (14.1%) | loss: 0.4002 | dt: 419ms | remaining: 258s   
step 00121 (14.2%) | loss: 0.3996 | dt: 349ms | remaining: 257s   
step 00122 (14.3%) | loss: 0.3974 | dt: 319ms | remaining: 257s   
step 00123 (14.5%) | loss: 0.3922 | dt: 329ms | remaining: 257s   
step 00124 (14.6%) | loss: 0.3905 | dt: 359ms | remaining: 256s   
step 00125 (14.7%) | loss: 0.3884 | dt: 244ms | remaining: 256s   
step 00126 (14.8%) | loss: 0.3815 | dt: 421ms | remaining: 256s   
step 00127 (14.9%) | loss: 0.3857 | dt: 343ms | remaining: 255s   
step 00128 (15.0%) | loss: 0.3813 | dt: 308ms | remaining: 255s   
step 00129 (15.2%) | loss: 0.3762 | dt: 414ms | remaining: 255s   
step 00130 (15.3%) | loss: 0.3709 | dt: 405ms | remaining: 254s   
step 00131 (15.4%) | loss: 0.3702 | dt: 413ms | remaining: 254s   
step 00132 (15.5%) | loss: 0.3729 | dt: 354ms | remaining: 253s   
step 00133 (15.7%) | loss: 0.3755 | dt: 416ms | remaining: 253s   
step 00134 (15.8%) | loss: 0.3719 | dt: 350ms | remaining: 253s   
step 00135 (15.9%) | loss: 0.3686 | dt: 363ms | remaining: 252s   
step 00136 (16.0%) | loss: 0.3659 | dt: 324ms | remaining: 252s   
step 00137 (16.2%) | loss: 0.3628 | dt: 479ms | remaining: 251s   
step 00138 (16.3%) | loss: 0.3632 | dt: 340ms | remaining: 251s   
step 00139 (16.4%) | loss: 0.3608 | dt: 387ms | remaining: 251s   
step 00140 (16.6%) | loss: 0.3624 | dt: 373ms | remaining: 250s   
step 00141 (16.7%) | loss: 0.3592 | dt: 373ms | remaining: 250s   
step 00142 (16.8%) | loss: 0.3561 | dt: 387ms | remaining: 250s   
step 00143 (16.9%) | loss: 0.3537 | dt: 405ms | remaining: 249s   
step 00144 (17.0%) | loss: 0.3484 | dt: 277ms | remaining: 249s   
step 00145 (17.2%) | loss: 0.3499 | dt: 416ms | remaining: 248s   
step 00146 (17.3%) | loss: 0.3489 | dt: 371ms | remaining: 248s   
step 00147 (17.4%) | loss: 0.3538 | dt: 395ms | remaining: 248s   
step 00148 (17.5%) | loss: 0.3515 | dt: 370ms | remaining: 247s   
step 00149 (17.7%) | loss: 0.3483 | dt: 338ms | remaining: 247s   
step 00150 (17.8%) | loss: 0.3510 | dt: 375ms | remaining: 247s   
step 00151 (17.9%) | loss: 0.3481 | dt: 383ms | remaining: 246s   
step 00152 (18.0%) | loss: 0.3465 | dt: 344ms | remaining: 246s   
step 00153 (18.2%) | loss: 0.3449 | dt: 482ms | remaining: 245s   
step 00154 (18.4%) | loss: 0.3435 | dt: 477ms | remaining: 245s   
step 00155 (18.5%) | loss: 0.3405 | dt: 361ms | remaining: 245s   
step 00156 (18.6%) | loss: 0.3392 | dt: 433ms | remaining: 244s   
step 00157 (18.7%) | loss: 0.3346 | dt: 335ms | remaining: 244s   
step 00158 (18.9%) | loss: 0.3330 | dt: 376ms | remaining: 243s   
step 00159 (19.0%) | loss: 0.3290 | dt: 345ms | remaining: 243s   
step 00160 (19.1%) | loss: 0.3307 | dt: 375ms | remaining: 243s   
step 00161 (19.2%) | loss: 0.3295 | dt: 391ms | remaining: 242s   
step 00162 (19.3%) | loss: 0.3286 | dt: 382ms | remaining: 242s   
step 00163 (19.5%) | loss: 0.3267 | dt: 392ms | remaining: 242s   
step 00164 (19.6%) | loss: 0.3257 | dt: 444ms | remaining: 241s   
step 00165 (19.8%) | loss: 0.3258 | dt: 385ms | remaining: 241s   
step 00166 (19.9%) | loss: 0.3227 | dt: 393ms | remaining: 240s   
step 00167 (20.0%) | loss: 0.3177 | dt: 328ms | remaining: 240s   
step 00168 (20.1%) | loss: 0.3209 | dt: 365ms | remaining: 240s   
step 00169 (20.2%) | loss: 0.3207 | dt: 340ms | remaining: 239s   
step 00170 (20.4%) | loss: 0.3223 | dt: 358ms | remaining: 239s   
step 00171 (20.5%) | loss: 0.3254 | dt: 343ms | remaining: 239s   
step 00172 (20.5%) | loss: 0.3216 | dt: 226ms | remaining: 238s   
step 00173 (20.7%) | loss: 0.3224 | dt: 366ms | remaining: 238s   
step 00174 (20.8%) | loss: 0.3246 | dt: 419ms | remaining: 238s   
step 00175 (21.0%) | loss: 0.3213 | dt: 453ms | remaining: 237s   
step 00176 (21.1%) | loss: 0.3268 | dt: 376ms | remaining: 237s   
step 00177 (21.2%) | loss: 0.3253 | dt: 308ms | remaining: 236s   
step 00178 (21.3%) | loss: 0.3267 | dt: 377ms | remaining: 236s   
step 00179 (21.4%) | loss: 0.3252 | dt: 419ms | remaining: 236s   
step 00180 (21.6%) | loss: 0.3259 | dt: 366ms | remaining: 235s   
step 00181 (21.7%) | loss: 0.3226 | dt: 320ms | remaining: 235s   
step 00182 (21.8%) | loss: 0.3240 | dt: 371ms | remaining: 235s   
step 00183 (21.9%) | loss: 0.3246 | dt: 366ms | remaining: 234s   
step 00184 (22.0%) | loss: 0.3223 | dt: 349ms | remaining: 234s   
step 00185 (22.2%) | loss: 0.3234 | dt: 383ms | remaining: 234s   
step 00186 (22.2%) | loss: 0.3221 | dt: 236ms | remaining: 233s   
step 00187 (22.4%) | loss: 0.3193 | dt: 419ms | remaining: 233s   
step 00188 (22.5%) | loss: 0.3170 | dt: 335ms | remaining: 233s   
step 00189 (22.6%) | loss: 0.3173 | dt: 302ms | remaining: 232s   
step 00190 (22.7%) | loss: 0.3167 | dt: 380ms | remaining: 232s   
step 00191 (22.8%) | loss: 0.3168 | dt: 372ms | remaining: 231s   
step 00192 (23.0%) | loss: 0.3117 | dt: 374ms | remaining: 231s   
step 00193 (23.1%) | loss: 0.3120 | dt: 337ms | remaining: 231s   
step 00194 (23.2%) | loss: 0.3233 | dt: 436ms | remaining: 230s   
step 00195 (23.3%) | loss: 0.3198 | dt: 272ms | remaining: 230s   
step 00196 (23.4%) | loss: 0.3184 | dt: 380ms | remaining: 230s   
step 00197 (23.6%) | loss: 0.3199 | dt: 378ms | remaining: 229s   
step 00198 (23.7%) | loss: 0.3208 | dt: 347ms | remaining: 229s   
step 00199 (23.8%) | loss: 0.3202 | dt: 350ms | remaining: 229s   
step 00200 (23.9%) | loss: 0.3210 | dt: 387ms | remaining: 228s   
step 00201 (24.1%) | loss: 0.3202 | dt: 353ms | remaining: 228s   
step 00202 (24.2%) | loss: 0.3197 | dt: 403ms | remaining: 227s   
step 00203 (24.3%) | loss: 0.3249 | dt: 383ms | remaining: 227s   
step 00204 (24.4%) | loss: 0.3244 | dt: 316ms | remaining: 227s   
step 00205 (24.5%) | loss: 0.3227 | dt: 333ms | remaining: 226s   
step 00206 (24.6%) | loss: 0.3256 | dt: 333ms | remaining: 226s   
step 00207 (24.8%) | loss: 0.3255 | dt: 367ms | remaining: 226s   
step 00208 (24.8%) | loss: 0.3269 | dt: 234ms | remaining: 225s   
step 00209 (25.0%) | loss: 0.3286 | dt: 428ms | remaining: 225s   
step 00210 (25.1%) | loss: 0.3293 | dt: 332ms | remaining: 225s   
step 00211 (25.2%) | loss: 0.3296 | dt: 365ms | remaining: 224s   
step 00212 (25.4%) | loss: 0.3356 | dt: 405ms | remaining: 224s   
step 00213 (25.5%) | loss: 0.3369 | dt: 427ms | remaining: 224s   
step 00214 (25.6%) | loss: 0.3328 | dt: 366ms | remaining: 223s   
step 00215 (25.8%) | loss: 0.3304 | dt: 433ms | remaining: 223s   
step 00216 (25.9%) | loss: 0.3305 | dt: 333ms | remaining: 222s   
step 00217 (26.0%) | loss: 0.3260 | dt: 341ms | remaining: 222s   
step 00218 (26.1%) | loss: 0.3250 | dt: 373ms | remaining: 222s   
step 00219 (26.2%) | loss: 0.3241 | dt: 347ms | remaining: 221s   
step 00220 (26.3%) | loss: 0.3216 | dt: 360ms | remaining: 221s   
step 00221 (26.5%) | loss: 0.3218 | dt: 524ms | remaining: 220s   
step 00222 (26.7%) | loss: 0.3205 | dt: 394ms | remaining: 220s   
step 00223 (26.8%) | loss: 0.3246 | dt: 382ms | remaining: 220s   
step 00224 (26.9%) | loss: 0.3265 | dt: 397ms | remaining: 219s   
step 00225 (27.0%) | loss: 0.3229 | dt: 337ms | remaining: 219s   
step 00226 (27.2%) | loss: 0.3214 | dt: 405ms | remaining: 219s   
step 00227 (27.3%) | loss: 0.3164 | dt: 375ms | remaining: 218s   
step 00228 (27.4%) | loss: 0.3120 | dt: 377ms | remaining: 218s   
step 00229 (27.5%) | loss: 0.3110 | dt: 340ms | remaining: 217s   
step 00230 (27.6%) | loss: 0.3127 | dt: 357ms | remaining: 217s   
step 00231 (27.8%) | loss: 0.3140 | dt: 398ms | remaining: 217s   
step 00232 (27.9%) | loss: 0.3164 | dt: 427ms | remaining: 216s   
step 00233 (28.1%) | loss: 0.3183 | dt: 455ms | remaining: 216s   
step 00234 (28.2%) | loss: 0.3143 | dt: 387ms | remaining: 215s   
step 00235 (28.3%) | loss: 0.3107 | dt: 345ms | remaining: 215s   
step 00236 (28.4%) | loss: 0.3119 | dt: 397ms | remaining: 215s   
step 00237 (28.6%) | loss: 0.3082 | dt: 352ms | remaining: 214s   
step 00238 (28.7%) | loss: 0.3097 | dt: 354ms | remaining: 214s   
step 00239 (28.8%) | loss: 0.3063 | dt: 349ms | remaining: 214s   
step 00240 (28.9%) | loss: 0.3051 | dt: 262ms | remaining: 213s   
step 00241 (29.0%) | loss: 0.3052 | dt: 292ms | remaining: 213s   
step 00242 (29.1%) | loss: 0.3030 | dt: 417ms | remaining: 213s   
step 00243 (29.2%) | loss: 0.3017 | dt: 340ms | remaining: 212s   
step 00244 (29.4%) | loss: 0.2999 | dt: 407ms | remaining: 212s   
step 00245 (29.5%) | loss: 0.2958 | dt: 348ms | remaining: 212s   
step 00246 (29.6%) | loss: 0.2933 | dt: 290ms | remaining: 211s   
step 00247 (29.7%) | loss: 0.2923 | dt: 349ms | remaining: 211s   
step 00248 (29.8%) | loss: 0.2957 | dt: 354ms | remaining: 211s   
step 00249 (29.9%) | loss: 0.2970 | dt: 344ms | remaining: 210s   
step 00250 (30.1%) | loss: 0.3136 | dt: 367ms | remaining: 210s   
step 00251 (30.2%) | loss: 0.3127 | dt: 427ms | remaining: 209s   
step 00252 (30.3%) | loss: 0.3111 | dt: 364ms | remaining: 209s   
step 00253 (30.4%) | loss: 0.3119 | dt: 396ms | remaining: 209s   
step 00254 (30.6%) | loss: 0.3106 | dt: 356ms | remaining: 208s   
step 00255 (30.7%) | loss: 0.3132 | dt: 415ms | remaining: 208s   
step 00256 (30.8%) | loss: 0.3129 | dt: 348ms | remaining: 208s   
step 00257 (30.9%) | loss: 0.3145 | dt: 337ms | remaining: 207s   
step 00258 (31.1%) | loss: 0.3110 | dt: 362ms | remaining: 207s   
step 00259 (31.2%) | loss: 0.3052 | dt: 351ms | remaining: 206s   
step 00260 (31.3%) | loss: 0.3005 | dt: 408ms | remaining: 206s   
step 00261 (31.4%) | loss: 0.3014 | dt: 422ms | remaining: 206s   
step 00262 (31.6%) | loss: 0.2992 | dt: 384ms | remaining: 205s   
step 00263 (31.7%) | loss: 0.2994 | dt: 326ms | remaining: 205s   
step 00264 (31.8%) | loss: 0.3036 | dt: 442ms | remaining: 205s   
step 00265 (32.0%) | loss: 0.2999 | dt: 373ms | remaining: 204s   
step 00266 (32.1%) | loss: 0.3005 | dt: 394ms | remaining: 204s   
step 00267 (32.2%) | loss: 0.2984 | dt: 330ms | remaining: 203s   
step 00268 (32.3%) | loss: 0.2971 | dt: 345ms | remaining: 203s   
step 00269 (32.4%) | loss: 0.2922 | dt: 276ms | remaining: 203s   
step 00270 (32.5%) | loss: 0.2912 | dt: 352ms | remaining: 202s   
step 00271 (32.7%) | loss: 0.2877 | dt: 390ms | remaining: 202s   
step 00272 (32.8%) | loss: 0.2862 | dt: 326ms | remaining: 202s   
step 00273 (32.9%) | loss: 0.2823 | dt: 318ms | remaining: 201s   
step 00274 (33.0%) | loss: 0.2898 | dt: 313ms | remaining: 201s   
step 00275 (33.1%) | loss: 0.2953 | dt: 353ms | remaining: 201s   
